Pos/0/X,Pos/1/Y
61,427
61,427
61,427
61,427
61,427
61,427
61,427
61,427
61,427
61,427
61,427
61,427
61,366
61,366
61,366
61,366
61,427
61,427
61,427
61,427
61,427
61,427
61,427
61,427
61,427
61,427
61,427
61,427
61,366
61,366
61,366
61,366
61,366
61,366
61,366
61,366
61,305
61,305
61,305
61,305
61,305
61,305
61,305
122,305
183,305
183,305
183,305
183,305
183,305
183,366
183,366
183,366
183,366
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,366
183,366
183,366
183,366
183,366
183,366
183,366
183,366
183,366
183,366
183,366
183,305
183,305
183,366
183,366
183,366
183,366
183,366
183,366
183,366
183,366
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,366
183,366
183,366
183,366
183,366
183,366
183,366
183,366
183,366
183,366
183,366
183,366
183,366
183,366
183,366
183,366
183,366
183,366
183,366
183,366
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,366
183,366
183,366
183,366
183,366
183,366
183,366
183,366
183,366
183,366
183,366
183,366
183,427
183,427
183,427
183,427
183,427
183,427
122,427
122,427
61,427
61,427
61,427
61,427
61,427
61,427
61,427
61,427
61,427
61,427
122,427
122,427
122,427
122,427
122,427
122,427
122,427
122,427
122,427
122,427
122,427
122,427
122,427
122,427
122,366
122,366
183,366
183,366
183,366
183,366
183,366
183,366
183,366
122,366
122,366
122,366
122,366
122,366
122,366
122,366
122,366
122,366
122,366
122,427
122,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
122,427
122,427
122,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
122,427
122,427
122,427
122,427
122,427
122,427
122,427
122,427
122,427
122,427
122,427
122,427
122,427
122,427
122,427
122,427
122,427
122,427
122,427
122,427
122,427
122,427
122,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
122,427
122,427
122,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
122,427
61,427
61,427
61,427
122,427
122,427
122,427
183,427
183,427
183,427
183,427
183,366
183,366
183,366
183,366
183,366
183,366
183,366
183,366
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
122,427
122,427
122,427
122,427
122,427
122,427
122,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
122,427
122,427
122,366
122,366
122,366
122,366
122,366
122,366
122,366
183,366
183,366
183,366
183,366
183,366
183,366
183,366
183,366
183,305
183,305
183,305
183,305
183,305
183,305
183,305
183,305
244,305
305,305
305,305
305,366
305,366
305,366
305,366
305,366
305,366
305,366
305,366
305,366
305,366
305,366
305,366
305,366
305,366
305,366
305,366
305,366
305,366
305,305
305,244
305,183
305,183
305,183
305,183
305,183
244,183
244,183
244,183
244,183
244,183
244,183
244,183
244,183
244,244
244,244
183,244
183,244
183,244
122,244
61,244
61,244
61,244
61,244
122,244
122,244
122,244
122,244
122,244
122,244
122,244
122,305
122,305
61,305
61,305
61,305
61,305
61,366
61,366
61,366
61,366
61,366
61,366
122,366
122,366
122,366
122,366
122,305
122,305
122,305
122,305
122,305
183,305
183,305
183,305
183,305
183,305
183,305
183,305
183,305
183,305
183,305
183,305
183,305
183,305
183,305
183,305
122,305
122,305
122,305
122,305
122,305
61,305
61,305
61,305
61,305
61,305
61,305
61,366
61,366
61,366
61,427
61,427
61,427
61,427
61,427
61,427
61,427
61,427
61,427
61,427
61,427
61,427
61,427
61,427
61,427
61,427
61,427
61,427
61,427
61,427
61,427
122,427
122,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
183,427
